Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth,Chain,Timestamp_Rounded,timestamp,ETH Price (USD),Gas Price (ETH),Total Cost (ETH),Total Cost (USD)
999b2a1b11b2fcb4f66f5331536ee3b66682623be5786d91ca68e67d8983bf5d,16183544,2024-09-21 02:30:06,0.123,622010,4,2,Polygon,2024-09-21,2024-09-21 02:23:25.041,2537.5676835974887,1.2300000000000001e-10,7.650723000000001e-05,0.1941422744095603
6361393ba03c2fc95ad9ad3d41227594031b23c3ba114465cc0137fd6e7e3fba,9735178,2024-09-21 03:00:04,0.073239795,838964,11,4,Linea,2024-09-21,2024-09-21 02:23:25.041,2537.5676835974887,7.3239795e-11,6.144555137238e-05,0.1559222454633808
2be6f52161f71dc564c3e1f096028a9784490f2a1a81e5c71603ce8a6c71976b,16184140,2024-09-21 03:00:07,0.138,636043,4,2,Polygon,2024-09-21,2024-09-21 02:23:25.041,2537.5676835974887,1.3800000000000001e-10,8.777393400000001e-05,0.22273229838061886
b934bfe5ae47d67ce6bde124ffc5c4f383303e4e5a09f8e73c20d7b18f85003d,9736077,2024-09-21 03:30:02,0.070702902,838835,11,4,Linea,2024-09-21,2024-09-21 03:27:04.155,2546.607562136472,7.070290200000001e-11,5.9308068799170003e-05,0.1510343764996765
a8a6d1491f587ae66487f39d25d450dd0c0edf17edf7884823216336945104e4,16184737,2024-09-21 03:30:06,0.173,636099,4,2,Polygon,2024-09-21,2024-09-21 03:27:04.155,2546.607562136472,1.73e-10,0.000110045127,0.2802417525944685
33c8cb6d5bfd1b7e412f771c19fe1a148c1a9b366242e8cc688c6f6aecf6af20,9736977,2024-09-21 04:00:03,0.063033053,838915,11,4,Linea,2024-09-21,2024-09-21 03:27:04.155,2546.607562136472,6.303305300000001e-11,5.287937365749501e-05,0.13466301283721693
37d9cd5e28fc33152be32ff30443ebd534e70c00c90fd11f12a0c3650253c099,16185332,2024-09-21 04:00:07,0.176,629101,4,2,Polygon,2024-09-21,2024-09-21 03:27:04.155,2546.607562136472,1.76e-10,0.000110721776,0.2819649120547805
812e8d154cb75bcafeb601f6ceee0520b2013d0c5685f65f75972d994749ec46,9737877,2024-09-21 04:30:03,0.059071559,838867,11,4,Linea,2024-09-21,2024-09-21 04:02:28.130,2544.3525266667966,5.907155900000001e-11,4.955318148365301e-05,0.12608076251231085
99701f730abe74c328e87659a6fd9cc42b93eb780d5bdc87cc32f88da4b546b2,16185928,2024-09-21 04:30:07,0.135,628917,4,2,Polygon,2024-09-21,2024-09-21 04:02:28.130,2544.3525266667966,1.3500000000000002e-10,8.490379500000002e-05,0.21602518533184978
9310e1feac2f081eca3e2583ea02051648af4bc12a41cfae5f27a9ddb75b24c6,9738777,2024-09-21 05:00:03,0.058219,843138,11,4,Linea,2024-09-21,2024-09-21 04:02:28.130,2544.3525266667966,5.8219e-11,4.9086651222e-05,0.1248937450623075
a4d742cbc63013777374ebd6386be5a0d2439cac8511a4a8101e4c4c07ec77c4,16186523,2024-09-21 05:00:08,0.129,622034,4,2,Polygon,2024-09-21,2024-09-21 04:02:28.130,2544.3525266667966,1.2900000000000002e-10,8.024238600000001e-05,0.20416491756487243
84844711524449ec4ebca1d05c1d6d9faa70b05d016651679ea13ff68c8c19df,9739676,2024-09-21 05:30:03,0.055568,821870,11,4,Linea,2024-09-21,2024-09-21 05:20:34.441,2542.4615114222643,5.5568000000000004e-11,4.566967216e-05,0.11611338370607291
